Damage over distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reload times (s),,,,,,
Distance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,∞,,Full,Tactical,,Rate of Fire,,ADS Time (s),With Shield
F90,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,477,461,444,428,411,395,378,362,345,329,312,312,312,312,312,312,312,312,,3.1,2.2,,780,,0.4,
F2,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,582,560,538,515,493,471,448,426,404,382,359,359,359,359,359,359,359,359,,3.1,2.4,,980,,0.4,
R4-C,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,541,523,504,486,468,450,431,413,395,377,358,358,358,358,358,358,358,358,,3.4,2.7,,860,,0.4,
G36C,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,476,459,441,423,405,388,370,352,334,317,299,299,299,299,299,299,299,299,,3.3,2.4,,780,,0.4,
C75 Auto,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,565,547,529,511,492,474,456,438,420,402,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,,2.7,1.9,,1000,,0.275,
BEARING 9,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,587,568,550,532,513,495,477,458,440,422,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,,2.7,1.9,,1100,,0.275,
SMG-11,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,718,695,672,648,625,602,579,556,533,510,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,,2.9,2,,1270,,0.275,
SPSMG9,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,523,506,490,474,457,441,425,408,392,376,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,,2.7,2.2,,980,,0.275,
SMG-12,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,575,558,541,523,506,489,471,454,437,419,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,,3,2,,1270,,0.275,
9mm C1,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,416,402,387,372,357,342,328,313,298,283,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,,2.6,1.9,,575,,0.3,
UMP45,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,366,353,339,325,312,298,285,271,257,244,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,,2.9,2.4,,600,,0.3,
Commando 9,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,454,440,425,411,397,383,369,355,340,326,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,,2.5,2,,780,,0.3,
M12,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,359,352,344,337,329,322,314,307,299,292,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,,3,2.2,,550,,0.3,
K1A,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,419,406,393,380,367,353,340,327,314,301,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,,3,2.7,,720,,0.3,
AUG A3,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,409,399,388,378,367,356,346,335,325,314,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,,3.3,2.6,,700,,0.3,
PDW9,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,444,434,424,415,405,395,385,376,366,356,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,,3.4,2.6,,800,,0.3,
9x19 VSN,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,409,393,377,361,345,330,314,298,282,266,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,,3.2,2.3,,750,,0.3,
MP7,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,464,447,431,415,398,382,365,349,333,316,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,2.8,2.2,,900,,0.3,
T-5 SMG,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,408,395,383,371,359,346,334,322,310,297,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,,3,2.4,,900,,0.3,
MP5K,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,390,381,371,361,352,342,332,322,313,303,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,,2.8,2,,800,,0.3,
MP5 SD,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,385,371,356,342,327,313,298,284,269,255,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,,2.9,2.2,,800,,0.3,
MP5,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,349,338,327,316,305,295,284,273,262,251,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,,2.9,2.2,,800,,0.3,
FMG-9,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,436,419,402,385,368,352,335,318,301,284,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,,3,2.2,,800,,0.3,
P10 RONI,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,414,404,393,383,373,362,352,342,331,321,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,,2.7,1.7,,980,,0.3,
Mx4 Storm,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,402,392,381,371,361,351,341,331,321,311,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,,3.1,2.8,,950,,0.3,
MPX,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,351,342,333,324,316,307,298,289,280,272,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,,3.1,2.4,,830,,0.3,
Scorpion,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,401,388,375,362,349,335,322,309,296,283,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,,3,2.1,,1080,,0.3,
P90,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,350,344,338,332,326,320,315,309,303,297,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,,2.9,2.4,,970,,0.3,
Vector,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,447,435,422,409,396,384,371,358,345,333,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,,2.8,2,,1200,,0.3,
Luison,488,488,488,488,488,488,488,488,488,488,488,471,455,439,423,406,390,374,358,341,325,309,293,276,260,244,228,211,195,179,162,146,130,114,98,98,98,98,98,98,98,98,,2.6,1.9,,450,,0.2,
Keratos .357,585,585,585,585,585,585,585,585,585,585,585,576,567,558,550,541,532,523,514,505,496,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,,4,4,,450,,0.2,
LFP586,585,585,585,585,585,585,585,585,585,585,585,555,525,495,465,435,405,375,345,315,285,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,4,4,,450,,0.2,0.6
.44 Mag,405,405,405,405,405,405,405,405,405,405,405,401,397,393,389,385,380,376,372,368,364,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,,2.1,1.8,,450,,0.2,
D-50,533,533,533,533,533,533,533,533,533,533,533,508,483,459,434,410,385,361,336,312,287,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,,2.5,2,,450,,0.2,
PMM,458,458,458,458,458,458,458,458,458,458,458,436,414,392,370,348,327,305,283,261,239,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,,1.9,1.4,,450,,0.2,0.6
Q-929,450,450,450,450,450,450,450,450,450,450,450,430,409,389,368,348,327,307,286,266,245,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,,2.1,1.8,,450,,0.2,
M45,435,435,435,435,435,435,435,435,435,435,435,418,401,384,367,350,333,316,299,282,265,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,,1.9,1.6,,450,,0.2,
1911 TACOPS,413,413,413,413,413,413,413,413,413,413,413,408,403,398,393,389,384,379,374,370,365,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,,2.2,1.9,,450,,0.2,
P229,383,383,383,383,383,383,383,383,383,383,383,367,351,335,320,304,288,273,257,241,226,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,,2.1,1.8,,450,,0.2,
P226,375,375,375,375,375,375,375,375,375,375,375,361,348,334,320,307,293,280,266,252,239,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,,2.1,1.8,,450,,0.2,
USP40,360,360,360,360,360,360,360,360,360,360,360,344,329,313,297,282,266,250,235,219,203,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,,2.1,1.8,,450,,0.2,
Mk1 9mm,360,360,360,360,360,360,360,360,360,360,360,346,331,317,303,288,274,260,245,231,217,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,,1.9,1.6,,450,,0.2,
SDP 9mm,353,353,353,353,353,353,353,353,353,353,353,338,323,308,293,278,263,248,233,218,203,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,,2.2,1.4,,450,,0.2,
P9,338,338,338,338,338,338,338,338,338,338,338,325,313,301,288,276,264,252,239,227,215,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,,2.1,1.8,,450,,0.2,0.6
P12,330,330,330,330,330,330,330,330,330,330,330,316,303,289,275,262,248,235,221,207,194,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,2.4,1.9,,450,,0.2,0.6
GSH-18,330,330,330,330,330,330,330,330,330,330,330,316,303,289,275,262,248,235,221,207,194,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,,2.3,2.1,,450,,0.2,0.6
PRB92,315,315,315,315,315,315,315,315,315,315,315,303,292,280,269,257,245,234,222,211,199,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,,2.6,1.9,,450,,0.2,
5.7 USG,315,315,315,315,315,315,315,315,315,315,315,303,292,280,269,257,245,234,222,211,199,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,,2.4,1.9,,450,,0.2,
P-10C,300,300,300,300,300,300,300,300,300,300,300,290,280,269,259,249,239,228,218,208,198,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,,2.2,1.9,,450,,0.2,
RG15,285,285,285,285,285,285,285,285,285,285,285,274,263,252,241,230,220,209,198,187,176,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,,2.4,1.9,,450,,0.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STK vs lvl. 1 armour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reload times (s),,,,,,
Distance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,∞,,Full,Tactical,,Rate of Fire,,ADS Time (s),With Shield
CSRX 300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3.1,2.5,,50,,0.5,
BOSG 12.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,2.4,,450,,0.4,
TCSG12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.2,2.5,,450,,0.4,
ACS12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,2.7,2,,300,,0.4,
OTs-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3.4,2.7,,380,,0.4,
SR-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,,3.5,2.9,,450,,0.4,0.55
CAMRS,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,,3.4,2.6,,450,,0.4,
417,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,,3.3,2.6,,450,,0.4,
AR-15.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3.1,2.2,,450,,0.4,
MK 14 EBR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3.4,3.1,,450,,0.4,
DP27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,,4.6,4,,550,,0.45,
M249,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,,7.6,7.6,,650,,0.45,
M249 SAW,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,,4.5,3.3,,650,,0.45,
6P41,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,,8.5,8.5,,680,,0.45,
T-95 LSW,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,,3,2,,650,,0.45,
LMG-E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,,6.5,7.1,,720,,0.45,
G8A1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,3.9,3,,850,,0.45,
ALDA 5.56,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,,5.7,6.2,,900,,0.45,
PARA-308,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,,3.3,2.6,,650,,0.4,
552 Com,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,,3.1,2.4,,690,,0.4,
ARX200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,,3.4,2.6,,700,,0.4,
556xi,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,3.7,2.6,,690,,0.4,
L85A2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,,3.3,2.7,,670,,0.4,
C7E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,,2.7,2,,800,,0.4,
M762,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,,3.3,2.6,,730,,0.4,
AK-12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,,3.4,2.6,,850,,0.4,
SC3000K,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,,3.4,2.6,,800,,0.4,
M4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,3.4,2.6,,750,,0.4,
V308,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.3,2.6,,700,,0.4,
AK-74M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,3.4,2.6,,650,,0.4,
416-C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,,3.4,2.4,,740,,0.4,
MK17 CQB,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,,3.1,2.4,,585,,0.4,0.55
AUG A2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.3,2.6,,720,,0.4,
AR33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,,3.3,2.6,,749,,0.4,
Spear .308,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.3,2.4,,700,,0.4,
TYPE-89,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.3,2.6,,850,,0.4,
C8-SFW,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,,2.9,2.4,,837,,0.4,
F90,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,,3.1,2.2,,780,,0.4,
F2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,,3.1,2.4,,980,,0.4,
R4-C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.4,2.7,,860,,0.4,
G36C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,,3.3,2.4,,780,,0.4,
C75 Auto,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.7,1.9,,1000,,0.275,
BEARING 9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.7,1.9,,1100,,0.275,
SMG-11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.9,2,,1270,,0.275,
SPSMG9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.7,2.2,,980,,0.275,
SMG-12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,3,2,,1270,,0.275,
9mm C1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,2.6,1.9,,575,,0.3,
UMP45,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.9,2.4,,600,,0.3,
Commando 9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.5,2,,780,,0.3,
M12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3,2.2,,550,,0.3,
K1A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,2.7,,720,,0.3,
AUG A3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.3,2.6,,700,,0.3,
PDW9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.4,2.6,,800,,0.3,
9x19 VSN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,3.2,2.3,,750,,0.3,
MP7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.8,2.2,,900,,0.3,
T-5 SMG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,3,2.4,,900,,0.3,
MP5K,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,2.8,2,,800,,0.3,
MP5 SD,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,2.9,2.2,,800,,0.3,
MP5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,2.9,2.2,,800,,0.3,
FMG-9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,2.2,,800,,0.3,
P10 RONI,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,2.7,1.7,,980,,0.3,
Mx4 Storm,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,3.1,2.8,,950,,0.3,
MPX,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,3.1,2.4,,830,,0.3,
Scorpion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,3,2.1,,1080,,0.3,
P90,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,2.9,2.4,,970,,0.3,
Vector,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,2.8,2,,1200,,0.3,
Luison,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,7,8,8,8,8,8,8,8,8,,2.6,1.9,,450,,0.2,
Keratos .357,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,4,,450,,0.2,
LFP586,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,4,,450,,0.2,0.6
.44 Mag,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2.1,1.8,,450,,0.2,
D-50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2.5,2,,450,,0.2,
PMM,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,1.9,1.4,,450,,0.2,0.6
Q-929,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,2.1,1.8,,450,,0.2,
M45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,1.9,1.6,,450,,0.2,
1911 TACOPS,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2.2,1.9,,450,,0.2,
P229,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,2.1,1.8,,450,,0.2,
